b,d,n,r,u,c,a,q,domain,f,P,t,p
C,springfieldnewssun.com,Springfield News-Sun,H,https://mediabiasfactcheck.com/springfield-news-sun-bias/,H,M,[],springfieldnewssun.com,,,,
FN,springstimes.com,Spring Times,M,https://mediabiasfactcheck.com/spring-times/,L,L,"['LT', 'FC', 'IM']",springstimes.com,,,,
FN,sputniknews.com,Sputnik,VL,https://mediabiasfactcheck.com/sputnik-news/,L,H,"['C', 'P', 'LT', 'FFC', 'FC', 'M', 'CEN']",sputniknews.com,SputnikNews,94.0,SputnikInt,
FN,squawker.org,Squawker,L,https://mediabiasfactcheck.com/squawker/,L,N,[],squawker.org,PenciDesign,39.0,,
RC,srnnews.com,Salem Radio Network News,H,https://mediabiasfactcheck.com/salem-radio-network-news-srn-news/,H,L,[],srnnews.com,SalemRadioNetworkNews,34.0,,
LC,stamfordadvocate.com,Stamford Advocate,H,https://mediabiasfactcheck.com/stamford-advocate/,H,M,[],stamfordadvocate.com,,58.0,,
C,standaard.be,De Standaard,H,https://mediabiasfactcheck.com/de-standaard-bias/,H,H,[],standaard.be,,,,
RC,standard.net,Utah Standard-Examiner,H,https://mediabiasfactcheck.com/utah-standard-examiner/,H,M,[],standard.net,standardexaminer,72.0,standardex,
RC,standardmedia.co.ke,The Standard,M,https://mediabiasfactcheck.com/the-standard-kenya/,M,H,[],standardmedia.co.ke,,87.0,,
FN,stanislausnews.com,Stanislaus News,M,https://mediabiasfactcheck.com/stanislaus-news/,L,L,"['LT', 'FC', 'IM']",stanislausnews.com,,,,
LC,staradvertiser.com,Honolulu Star-Advertiser,H,https://mediabiasfactcheck.com/honolulu-star-advertiser/,H,H,[],staradvertiser.com,staradvertiser,83.0,,
C,stardem.com,The Star Democrat,H,https://mediabiasfactcheck.com/the-star-democrat/,H,L,[],stardem.com,,,,
FN,staresattheworld.com,Stares at the World,L,https://mediabiasfactcheck.com/stares-at-the-world/,L,L,"['C', 'P', 'PS', 'M', 'H']",staresattheworld.com,DarthAurini,38.0,,
C,starexponent.com,Culpeper Star-Exponent,H,https://mediabiasfactcheck.com/culpeper-star-exponent-bias/,H,L,[],starexponent.com,,,,
C,starherald.com,Scottsbluff Star-Herald,H,https://mediabiasfactcheck.com/scottsbluff-star-herald-bias/,H,L,[],starherald.com,,,,
C,starheraldnews.com,Pocahontas Star Herald,H,https://mediabiasfactcheck.com/pocahontas-star-herald-bias/,H,L,[],starheraldnews.com,,,,
R,starpolitical.com,Star Political,M,https://mediabiasfactcheck.com/star-political/,M,L,[],starpolitical.com,,29.0,XStarPolitical,
LC,startribune.com,Minneapolis Star-Tribune,H,https://mediabiasfactcheck.com/minneapolis-star-tribune/,H,H,[],startribune.com,startribune,95.0,StarTribune,
FN,statefort.com,State Fort,VL,https://mediabiasfactcheck.com/state-fort-daily/,L,N,[],statefort.com,,13.0,,
FN,stateofthenation.co,State of the Nation,L,https://mediabiasfactcheck.com/state-of-the-union-2012/,L,M,"['C', 'P', 'FFC', 'FC', 'M']",stateofthenation.co,,52.0,,
LC,statepress.com,The State Press (Arizona),H,https://mediabiasfactcheck.com/the-state-press-arizona/,H,L,[],statepress.com,StatePress,49.0,mediaASU,
FN,states-tv.com,USA News/States-TV,L,https://mediabiasfactcheck.com/usa-newsstates-tv/,L,N,[],states-tv.com,,17.0,,
LC,statesman.com,Austin American-Statesman,H,https://mediabiasfactcheck.com/austin-american-statesman/,H,M,[],statesman.com,statesman,88.0,statesman,
C,statesmanjournal.com,Statesman Journal,H,https://mediabiasfactcheck.com/statesman-journal/,H,M,[],statesmanjournal.com,statesmanjournal,76.0,Salem_Statesman,
C,statesville.com,Statesville Record & Landmark,H,https://mediabiasfactcheck.com/statesville-record-landmark/,H,M,[],statesville.com,,,,
C,statista.com,Statista,H,https://mediabiasfactcheck.com/statista/,H,H,[],statista.com,,80.0,,
LC,statnews.com,STAT (News),H,https://mediabiasfactcheck.com/stat-news/,H,H,[],statnews.com,statnews,78.0,statnews,
LC,staugustine.com,St. Augustine Record,H,https://mediabiasfactcheck.com/st-augustine-record-bias/,H,M,[],staugustine.com,,,,
FN,steadfastandloyal.com,Steadfast and Loyal,M,https://mediabiasfactcheck.com/steadfast-and-loyal/,L,L,"['P', 'PS', 'FFC', 'FC', 'M']",steadfastandloyal.com,steadfastloyal,29.0,,
FN,steadfastclash.com,Steadfast Clash,M,https://mediabiasfactcheck.com/steadfast-clash-bias/,L,L,"['C', 'P', 'PS', 'LT', 'FC', 'M', 'PSE']",steadfastclash.com,,,,
R,steadfastdaily.com,Steadfast Daily,M,https://mediabiasfactcheck.com/steadfast-daily/,M,L,[],steadfastdaily.com,,,,
C,steamboatpilot.com,Steamboat Pilot & Today,H,https://mediabiasfactcheck.com/steamboat-pilot-today-bias/,H,M,[],steamboatpilot.com,,,,
LC,stepfeed.com,Stepfeed,M,https://mediabiasfactcheck.com/stepfeed/,M,M,[],stepfeed.com,,53.0,stepfeed,
FN,stfnreport.com,Stranger than Fiction News,M,https://mediabiasfactcheck.com/stranger-than-fiction-news/,L,N,"['C', 'P', 'PS', 'LT', 'M']",stfnreport.com,,18.0,,
S,stgeorgegazette.com,St. George Gazette,,https://mediabiasfactcheck.com/st-george-gazette/,NA,N,[],stgeorgegazette.com,paulissuperawesome,19.0,,
CP,stillnessinthestorm.com,Stillness in the Storm,L,https://mediabiasfactcheck.com/stillness-in-the-storm/,L,M,[],stillnessinthestorm.com,,48.0,,
S,stiltonsplace.blogspot.com,Stilton's Place,,https://mediabiasfactcheck.com/stiltons-place/,NA,L,[],stiltonsplace.blogspot.com,,32.0,,
C,stimson.org,Stimson Center,H,https://mediabiasfactcheck.com/stimson-center/,H,L,[],stimson.org,stimsoncenter,45.0,,
LC,stltoday.com,St. Louis Post-Dispatch,H,https://mediabiasfactcheck.com/st-louis-post-dispatch/,H,H,[],stltoday.com,,71.0,,
C,stocknewsusa.com,Stock News USA,H,https://mediabiasfactcheck.com/stock-news-usa/,H,N,[],stocknewsusa.com,stocknewsusa,35.0,stocknewsusa,
LC,stocksnewsdaily.com,Stock News Daily,H,https://mediabiasfactcheck.com/stocks-news-daily/,NA,N,[],stocksnewsdaily.com,,4.0,,
FN,stonecoldtruth.com,Stone Cold Truth,L,https://mediabiasfactcheck.com/stone-cold-truth/,L,L,"['C', 'P', 'PS', 'FFC', 'FC', 'M']",stonecoldtruth.com,StoneColdTruth,60.0,,
LC,stopfake.org,StopFake,H,https://mediabiasfactcheck.com/stopfake/,H,L,[],stopfake.org,stopfakeukraine,67.0,,
FN,stoppingsocialism.com,Stopping Socialism,M,https://mediabiasfactcheck.com/stopping-socialism/,L,L,"['C', 'P', 'PS', 'LT', 'M']",stoppingsocialism.com,,,,
CP,stormcloudsgathering.com,Storm Clouds Gathering,L,https://mediabiasfactcheck.com/storm-clouds-gathering/,L,N,[],stormcloudsgathering.com,StormCloudsGathering,46.0,,
FN,stormer-daily.rw,Daily Stormer,VL,https://mediabiasfactcheck.com/daily-stormer/,L,L,"['C', 'P', 'PS', 'FFC', 'FC', 'M', 'H', 'FN', 'PSE']",stormer-daily.rw,,49.0,,
CP,stormfront.org,Stormfront,VL,https://mediabiasfactcheck.com/stormfront/,L,M,[],stormfront.org,,71.0,,
L,stpete4peace.org,St. Pete for Peace,M,https://mediabiasfactcheck.com/st-pete-for-peace/,M,L,[],stpete4peace.org,stpeteforpeace,24.0,,
FN,stpetestandard.com,St. Pete Standard,M,https://mediabiasfactcheck.com/st-pete-standard/,L,L,"['LT', 'FC', 'IM']",stpetestandard.com,,,,
RC,straitstimes.com,The Straits Times,MF,https://mediabiasfactcheck.com/the-straits-times/,H,H,[],straitstimes.com,TheStraitsTimes,92.0,STCOM,
C,strategypage.com,StrategyPage,H,https://mediabiasfactcheck.com/strategypage/,H,M,[],strategypage.com,Strategypage,70.0,strategypage,
CP,stream.org,The Stream,M,https://mediabiasfactcheck.com/the-stream/,L,M,[],stream.org,TheStream.org,59.0,streamdotorg,
C,stripes.com,Stars and Stripes,H,https://mediabiasfactcheck.com/stars-and-stripes/,H,M,[],stripes.com,stripesmedia,83.0,starsandstripes,
S,stubhillnews.com,Stubhill News,,https://mediabiasfactcheck.com/stubhill-news/,NA,N,[],stubhillnews.com,StubhillNews,26.0,StubhillNews,
RC,studentnewsdaily.com,Student News Daily,MF,https://mediabiasfactcheck.com/student-daily-news/,M,L,[],studentnewsdaily.com,StudentNewsDaily,58.0,StudentNewsD,
FN,studionewsnetwork.com,Studio News Network,M,https://mediabiasfactcheck.com/studio-news-network/,L,N,[],studionewsnetwork.com,,24.0,,
LC,stuff.co.nz,Stuff,H,https://mediabiasfactcheck.com/stuff/,H,H,[],stuff.co.nz,,80.0,,
S,stuppid.com,Stuppid,,https://mediabiasfactcheck.com/stuppid/,NA,N,[],stuppid.com,stuppidcom,39.0,,
FN,subjectpolitics.com,Subject Politics,L,https://mediabiasfactcheck.com/subject-politics/,L,N,[],subjectpolitics.com,,30.0,subjectpolitics,
S,suffolkgazette.com,Suffolk Gazette,,https://mediabiasfactcheck.com/suffolk-gazette/,NA,L,[],suffolkgazette.com,,32.0,,
FN,summit.news,Summit News,L,https://mediabiasfactcheck.com/summit-news/,L,M,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M']",summit.news,,52.0,,
C,summitdaily.com,Summit Daily News,H,https://mediabiasfactcheck.com/summit-daily-news-bias/,H,M,[],summitdaily.com,,,,
FN,sumtertimes.com,Sumter Times,M,https://mediabiasfactcheck.com/sumter-times/,L,L,"['LT', 'FC', 'IM']",sumtertimes.com,,,,
C,sun-courier.com,Gladbrook Sun-Courier,H,https://mediabiasfactcheck.com/gladbrook-sun-courier-bias/,H,L,[],sun-courier.com,,,,
C,sun-sentinel.com,South Florida Sun-Sentinel,H,https://mediabiasfactcheck.com/south-florida-sun-sentinel/,H,H,[],sun-sentinel.com,SunSentinel,88.0,SunSentinel,
FN,sundayinquirer.com,Sunday Inquirer,VL,https://mediabiasfactcheck.com/sunday-inquirer/,L,N,[],sundayinquirer.com,,15.0,,
S,sundaysportonline.co.uk,Sunday Sport,,https://mediabiasfactcheck.com/sunday-sport/,NA,L,[],sundaysportonline.co.uk,,25.0,,
FN,sunflowerstatenews.com,Sunflower State News,M,https://mediabiasfactcheck.com/sunflower-state-news-bias/,L,L,"['LT', 'FC', 'IM']",sunflowerstatenews.com,,,,
C,sunherald.com,Biloxi Sun Herald,H,https://mediabiasfactcheck.com/biloxi-sun-herald/,H,M,[],sunherald.com,,57.0,,
LC,sunlightfoundation.com,Sunlight Foundation,H,https://mediabiasfactcheck.com/sunlight-foundation/,H,N,[],sunlightfoundation.com,sunlightfoundation,80.0,,
FN,sunshinesentinel.com,Sunshine Sentinel,M,https://mediabiasfactcheck.com/sunshine-sentinel/,L,L,"['LT', 'FC', 'IM']",sunshinesentinel.com,,,,
CP,supplementreference.com,SupplementReference.com,VL,https://mediabiasfactcheck.com/supplementreference-com/,L,L,[],supplementreference.com,,19.0,,
FN,supportisraelnow.com,Support Israel Now,L,https://mediabiasfactcheck.com/support-israel-now/,L,L,"['C', 'P', 'PS', 'LT', 'FC', 'M', 'H']",supportisraelnow.com,,,,
FN,supremepatriot.com,Supreme Patriot,L,https://mediabiasfactcheck.com/supreme-patriot/,L,N,[],supremepatriot.com,,25.0,,
FN,surenews.com,Sure News,L,https://mediabiasfactcheck.com/sure-news/,L,N,[],surenews.com,bustedlocals,31.0,,
FN,survivalblog.com,SurvivalBlog.com,L,https://mediabiasfactcheck.com/survivalblog-com/,L,L,"['C', 'P', 'PS', 'M']",survivalblog.com,,71.0,,
FN,sussexreview.com,Sussex Review,M,https://mediabiasfactcheck.com/sussex-review/,L,L,"['LT', 'FC', 'IM']",sussexreview.com,,,,
CP,sustainablepulse.com,Sustainable Pulse,L,https://mediabiasfactcheck.com/sustainable-pulse/,L,N,[],sustainablepulse.com,SustainablePulse,51.0,SustainablePuls,
FN,svijmedia.com,Svijmedia.com,L,https://mediabiasfactcheck.com/svijmedia-com/,L,N,[],svijmedia.com,Onecom,10.0,onecom,
FN,swalaskanews.com,SW Alaska News,M,https://mediabiasfactcheck.com/sw-alaska-news/,L,L,"['LT', 'FC', 'IM']",swalaskanews.com,,2.0,,
FN,swampdrain.com,SwampDrain.com,L,https://mediabiasfactcheck.com/swampdrain-com/,L,N,"['P', 'PS', 'LT', 'M']",swampdrain.com,,25.0,,
FN,swarajyamag.com,Swarajya,L,https://mediabiasfactcheck.com/swarajya/,L,M,"['P', 'PS', 'FFC', 'FC', 'M', 'FN']",swarajyamag.com,swarajyamag,58.0,SwarajyaMag,
FN,swarizonanews.com,SW Arizona News,M,https://mediabiasfactcheck.com/sw-arizona-news/,L,L,"['LT', 'FC', 'IM']",swarizonanews.com,,2.0,,
FN,swarkansastimes.com,SW Arkansas Times,M,https://mediabiasfactcheck.com/sw-arkansas-times/,L,L,"['LT', 'FC', 'IM']",swarkansastimes.com,,5.0,,
FN,swbluegrassnews.com,SW Bluegrass News,M,https://mediabiasfactcheck.com/sw-bluegrass-news-bias/,L,L,"['LT', 'FC', 'IM']",swbluegrassnews.com,,,,
FN,swcoloradonews.com,SW Colorado News,M,https://mediabiasfactcheck.com/sw-colorado-news/,L,L,"['LT', 'FC', 'IM']",swcoloradonews.com,,,,
FN,swconnnews.com,SW Connecticut News,M,https://mediabiasfactcheck.com/sw-connecticut-news/,L,L,"['LT', 'FC', 'IM']",swconnnews.com,,,,
FN,swgeorgianews.com,SW Georgia News,M,https://mediabiasfactcheck.com/sw-georgia-news/,L,L,"['LT', 'FC', 'IM']",swgeorgianews.com,,,,
FN,swillinoisnews.com,South West Illinois News,M,https://mediabiasfactcheck.com/south-west-illinois-news/,L,L,"['LT', 'FC', 'IM']",swillinoisnews.com,,,,
FN,swindiananews.com,SW Indiana News,M,https://mediabiasfactcheck.com/sw-indiana-news-bias/,L,L,"['LT', 'FC', 'IM']",swindiananews.com,,,,
FN,swiowatimes.com,SW Iowa Times,M,https://mediabiasfactcheck.com/sw-iowa-times-bias/,L,L,"['LT', 'FC', 'IM']",swiowatimes.com,,,,
LC,swissinfo.ch,SWI - Swissinfo.ch,H,https://mediabiasfactcheck.com/swi-swissinfo-ch/,H,M,[],swissinfo.ch,swissinfo,73.0,swissinfo_en,
FN,swkansasnews.com,SW Kansas News,M,https://mediabiasfactcheck.com/sw-kansas-news-bias/,L,L,"['LT', 'FC', 'IM']",swkansasnews.com,,,,
FN,swlouisiananews.com,SW Louisiana News,M,https://mediabiasfactcheck.com/sw-louisiana-news-bias/,L,L,"['LT', 'FC', 'IM']",swlouisiananews.com,,,,
CP,swprs.org,Swiss Policy Research,M,https://mediabiasfactcheck.com/swiss-policy-research/,L,M,[],swprs.org,,50.0,,
FN,swriversidenews.com,SW Riverside News,M,https://mediabiasfactcheck.com/sw-riverside-news/,L,L,"['LT', 'FC', 'IM']",swriversidenews.com,,,,
C,swtimes.com,Southwest Times Record,H,https://mediabiasfactcheck.com/southwest-times-record/,H,M,[],swtimes.com,,,,
FN,swvalleytimes.com,SW Valley Times,M,https://mediabiasfactcheck.com/sw-valley-times/,L,L,"['LT', 'FC', 'IM']",swvalleytimes.com,,2.0,,
C,swvatoday.com,SWVA Today,H,https://mediabiasfactcheck.com/swva-today-bias/,H,L,[],swvatoday.com,,,,
LC,syriahr.com,Syrian Observatory for Human Rights (SOHR),MF,https://mediabiasfactcheck.com/syrian-observatory-for-human-rights-sohr/,H,M,[],syriahr.com,,51.0,,
FN,syriana-analysis.com,Syriana Analysis,M,https://mediabiasfactcheck.com/syriana-analysis/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M']",syriana-analysis.com,,22.0,,
FN,syrianews.cc,Syria News,L,http://mediabiasfactcheck.com/syria-news/,L,L,"['P', 'PS', 'LT', 'M']",syrianews.cc,,39.0,,
RC,tabletmag.com,Tablet Magazine,MF,https://mediabiasfactcheck.com/tablet-magazine/,H,M,[],tabletmag.com,TabletMag,76.0,,
C,tahoedailytribune.com,Tahoe Daily Tribune,H,https://mediabiasfactcheck.com/tahoe-daily-tribune-bias/,H,M,[],tahoedailytribune.com,,,,
C,taipeitimes.com,Taipei Times,H,https://mediabiasfactcheck.com/taipei-times/,H,M,[],taipeitimes.com,,61.0,,
L,takepart.com,Take Part,H,https://mediabiasfactcheck.com/takepart/,H,L,[],takepart.com,takepart,61.0,,
FN,takimag.com,Taki's Magazine,L,https://mediabiasfactcheck.com/takis-magazine/,L,M,"['C', 'P', 'M', 'H']",takimag.com,takimag,62.0,takimag,
L,talkingpointsmemo.com,Talking Points Memo,MF,https://mediabiasfactcheck.com/talking-points-memo/,H,H,[],talkingpointsmemo.com,talkingpointsmemo,89.0,tpm,
CP,talknetwork.com,TalkNetwork.com,VL,https://mediabiasfactcheck.com/talknetwork-com/,L,L,[],talknetwork.com,,35.0,,
RC,tallahassee.com,Tallahasee Democrat,H,https://mediabiasfactcheck.com/tallahassee-democrat/,H,M,[],tallahassee.com,tallahasseedemocrat,79.0,TDOnline,
FN,tallahasseesun.com,Tallahassee Sun,M,https://mediabiasfactcheck.com/tallahassee-sun/,L,L,"['LT', 'FC', 'IM']",tallahasseesun.com,,,,
C,tamatoledonews.com,Tama-Toledo News Chronicle,H,https://mediabiasfactcheck.com/tama-toledo-news-chronicle/,H,L,[],tamatoledonews.com,,,,
LC,tampa.cbslocal.com,WTOG - CBS Tampa,H,https://mediabiasfactcheck.com/wtog-cbs-tampa/,H,H,[],tampa.cbslocal.com,,,,
LC,tampabay.com,Tampa Bay Times,H,https://mediabiasfactcheck.com/tampa-bay-times/,H,H,[],tampabay.com,tampabaycom,89.0,TB_Times,
FN,tamparepublic.com,Tampa Republic,M,https://mediabiasfactcheck.com/tampa-republic/,L,L,"['LT', 'FC', 'IM']",tamparepublic.com,,,,
LC,tarbell.org,Tarbell,H,https://mediabiasfactcheck.com/tarbell/,H,N,[],tarbell.org,Tarbell.org,39.0,,
LC,taskandpurpose.com,Task and Purpose,MF,https://mediabiasfactcheck.com/task-and-purpose/,H,H,[],taskandpurpose.com,TaskandPurpose,69.0,Task & Purpose,
FN,tass.com,Russian News Agency-TASS,M,https://mediabiasfactcheck.com/russian-news-agency-tass/,L,M,"['C', 'P', 'PS', 'CEN']",tass.com,tassagency.eng,78.0,tass_agency,
R,tatumreport.com,Tatum Report,M,https://mediabiasfactcheck.com/tatum-report/,M,M,[],tatumreport.com,,,,
RC,taxfoundation.org,Tax Foundation,MF,https://mediabiasfactcheck.com/tax-foundation/,H,M,[],taxfoundation.org,taxfoundation,80.0,taxfoundation,
LC,taxjustice.net,Tax Justice Network,H,https://mediabiasfactcheck.com/tax-justice-network/,H,L,[],taxjustice.net,TaxJusticeNetwork,46.0,,
RC,taxpayer.com,Canadian Taxpayers Federation,H,https://mediabiasfactcheck.com/canadian-taxpayers-federation/,H,M,[],taxpayer.com,TaxpayerDOTcom,55.0,taxpayerdotcom,
LC,taxpolicycenter.org,Tax Policy Center,H,https://mediabiasfactcheck.com/tax-policy-center/,H,M,[],taxpolicycenter.org,taxpolicycenter,74.0,TaxPolicyCenter,
FN,tbdailynews.com,TB Daily News,M,https://mediabiasfactcheck.com/tb-daily-news/,L,L,"['LT', 'M']",tbdailynews.com,,33.0,,
LC,tcf.org,The Century Foundation,H,https://mediabiasfactcheck.com/the-century-foundation/,H,L,[],tcf.org,TheCenturyFoundation,70.0,TCFdotorg,
LC,tcpalm.com,TCPalm - Treasure Coast News,H,https://mediabiasfactcheck.com/tcpalm-treasure-coast-news-bias/,H,M,[],tcpalm.com,,,,
C,tdn.com,The Daily News (Longview),H,https://mediabiasfactcheck.com/the-daily-news-longview/,H,M,[],tdn.com,The-Daily-News-115458415536,71.0,the_daily_news,
FN,tdnewswire.com,TD Newswire,VL,https://mediabiasfactcheck.com/td-newswire/,L,N,[],tdnewswire.com,,13.0,,
FN,tdtalliance.com,TdtAlliance.com,L,https://mediabiasfactcheck.com/tdtalliance-com/,L,N,[],tdtalliance.com,,20.0,,
R,teamdml.com,DML News,M,https://mediabiasfactcheck.com/dml-news/,M,L,[],teamdml.com,,34.0,,
FN,teaparty.org,Tea Party Inc.,L,https://mediabiasfactcheck.com/tea-party-inc/,L,M,"['C', 'P', 'PS', 'LT', 'FFC', 'FC']",teaparty.org,teapartyorg,53.0,teapartyorg,
LC,techcrunch.com,TechCrunch,H,https://mediabiasfactcheck.com/techcrunch/,H,H,[],techcrunch.com,,96.0,,
CP,technocracy.news,Technocracy.News,VL,https://mediabiasfactcheck.com/technocracy-news/,L,M,[],technocracy.news,,45.0,,
C,techspot.com,TechSpot,H,https://mediabiasfactcheck.com/techspot-bias/,H,H,[],techspot.com,,,,
FN,techstartups.com,TechStartups,M,https://mediabiasfactcheck.com/techstartups/,L,M,"['C', 'PS', 'LT', 'FFC', 'FC', 'M']",techstartups.com,,47.0,,
PS,techxplore.com,TechXplore,VH,https://mediabiasfactcheck.com/techxplore/,H,M,[],techxplore.com,TechxploreCom,61.0,,
FN,teddystick.com,Teddy Stick,L,https://mediabiasfactcheck.com/teddy-stick/,L,N,"['P', 'FN']",teddystick.com,,23.0,,
L,teenvogue.com,Teen Vogue,MF,https://mediabiasfactcheck.com/teen-vogue/,H,M,[],teenvogue.com,teenvogue,85.0,TeenVogue,
R,telegraaf.nl,De Telegraaf,MF,https://mediabiasfactcheck.com/de-telegraaf/,H,H,[],telegraaf.nl,,71.0,,
C,telegram.com,Telegram & Gazette,H,https://mediabiasfactcheck.com/telegram-gazette/,H,M,[],telegram.com,,,,
R,telegraph.co.uk,Daily Telegraph (UK),M,https://mediabiasfactcheck.com/daily-telegraph/,M,H,[],telegraph.co.uk,TELEGRAPH.CO.UK,97.0,Telegraph,
FN,telesurenglish.net,Telesur,M,https://mediabiasfactcheck.com/telesur/,L,M,"['P', 'PS', 'LT', 'FFC', 'FC', 'CEN']",telesurenglish.net,telesurenglish,88.0,teleSURtv,
C,tennessean.com,The Tennessean,H,https://mediabiasfactcheck.com/the-tennessean/,H,H,[],tennessean.com,tennessean,68.0,tennessean,
R,tennesseestar.com,The Tennessee Star,M,https://mediabiasfactcheck.com/the-tennessee-star/,M,M,[],tennesseestar.com,TennesseeStar,47.0,,
R,tenthamendmentcenter.com,Tenth Amendment Center,M,https://mediabiasfactcheck.com/tenth-amendment-center/,M,L,[],tenthamendmentcenter.com,,71.0,,
C,tetonvalleynews.net,Teton Valley News,H,https://mediabiasfactcheck.com/teton-valley-news-bias/,H,L,[],tetonvalleynews.net,,,,
LC,texasmonthly.com,Texas Monthly,H,https://mediabiasfactcheck.com/texas-monthly/,H,M,[],texasmonthly.com,None,82.0,,
C,texasstandard.org,Texas Standard,H,https://mediabiasfactcheck.com/texas-standard/,H,L,[],texasstandard.org,TexasStandard,51.0,,
LC,texastribune.org,Texas Tribune,H,https://mediabiasfactcheck.com/texas-tribune/,H,H,[],texastribune.org,texastribune,82.0,TexasTribune,
FN,tfp.org,"American Society for the Defense of Tradition, Family, and Property",L,https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,L,L,"['C', 'P', 'FFC', 'M', 'H']",tfp.org,Tradition.Family.Property.TFP,60.0,americatfp,
C,tghemesatribune.com,Mesa Tribune,H,https://mediabiasfactcheck.com/mesa-tribune-bias/,H,L,[],tghemesatribune.com,,,,
RC,tharawat-magazine.com,Tharawat Magazine,H,https://mediabiasfactcheck.com/tharawat-magazine/,H,L,[],tharawat-magazine.com,tharawat.magazine,37.0,Tharawatmag,
C,thatsnonsense.com,That's Nonsense,H,https://mediabiasfactcheck.com/thats-nonsense/,H,L,[],thatsnonsense.com,thatsnonsense,40.0,,
S,thatsprettygoodscience.com,That's Pretty Good Science,,https://mediabiasfactcheck.com/thats-pretty-good-science/,NA,N,[],thatsprettygoodscience.com,,9.0,tpgscience,
RC,the-american-interest.com,The American Interest,H,https://mediabiasfactcheck.com/the-american-interest/,H,L,[],the-american-interest.com,,50.0,aminterest,
L,the-daily.buzz,The Daily Buzz,M,https://mediabiasfactcheck.com/the-daily-buzz/,M,L,[],the-daily.buzz,jegtheme,52.0,,
RC,the-japan-news.com,The Japan News,H,https://mediabiasfactcheck.com/the-japan-news/,H,M,[],the-japan-news.com,TheJapanNews,84.0,The_Japan_News,
S,the-postillon.com,The Postillion,,https://mediabiasfactcheck.com/the-postillion/,NA,L,[],the-postillon.com,DerPostillon,37.0,Der_Postillon,
PS,the-scientist.com,The Scientist,VH,https://mediabiasfactcheck.com/the-scientist/,H,M,[],the-scientist.com,TheScientistMagazine,84.0,TheScientistLLC,
R,the-sun.com,The US Sun,M,https://mediabiasfactcheck.com/the-us-sun-bias/,M,H,[],the-sun.com,,,,
LC,theadvertiser.com,Lafayette Daily Advertiser,H,https://mediabiasfactcheck.com/lafayette-daily-advertiser-bias/,H,M,[],theadvertiser.com,,,,
RC,theadvocates.org,Advocates for Self-Government,MF,https://mediabiasfactcheck.com/advocates-for-self-government/,M,L,[],theadvocates.org,,45.0,,
LC,theage.com.au,The Age (Australia),H,https://mediabiasfactcheck.com/the-age-australia/,H,H,[],theage.com.au,theageAustralia,76.0,theage,
C,thealpenanews.com,Alpena News,H,https://mediabiasfactcheck.com/alpena-news-bias/,H,L,[],thealpenanews.com,,,,
CP,thealternativedaily.com,Alternative Daily,L,https://mediabiasfactcheck.com/alternative-daily-bias/,L,M,[],thealternativedaily.com,,,,
RC,theamericanconservative.com,The American Conservative,MF,https://mediabiasfactcheck.com/the-american-conservative/,H,M,[],theamericanconservative.com,The.American.Conservative,73.0,amconmag,
FN,theamericanmirror.com,The American Mirror,L,https://mediabiasfactcheck.com/the-american-mirror/,L,N,"['C', 'P', 'M']",theamericanmirror.com,theamericanmirror,47.0,american_mirror,
CP,theantimedia.com,The Anti-Media,M,https://mediabiasfactcheck.com/the-anti-media/,L,N,[],theantimedia.com,TheAntiMedia,70.0,antimedia,
RC,theaustralian.com.au,The Australian,M,https://mediabiasfactcheck.com/the-australian/,M,H,[],theaustralian.com.au,theaustralian,91.0,australian,
CP,theautomaticearth.com,The Automatic Earth,L,https://mediabiasfactcheck.com/the-automatic-earth/,L,L,[],theautomaticearth.com,TheAutomaticEarth,58.0,,
L,thebaffler.com,The Baffler,H,https://mediabiasfactcheck.com/the-baffler/,H,M,[],thebaffler.com,TheBafflerMagazine,69.0,,
C,thebalance.com,The Balance,H,https://mediabiasfactcheck.com/the-balance/,H,H,[],thebalance.com,thebalancecom,66.0,thebalance,
FN,thebeardedpatriot.com,The Bearded Patriot,L,https://mediabiasfactcheck.com/the-bearded-patriot/,L,L,"['P', 'PS', 'LT', 'FC', 'M', 'PSE']",thebeardedpatriot.com,,18.0,,
FN,thebeltwayreport.com,The Beltway Report,M,https://mediabiasfactcheck.com/the-beltway-report/,L,L,"['P', 'PS', 'LT', 'FC', 'M']",thebeltwayreport.com,,20.0,,
LC,thebipartisanpress.com,The Bipartisan Press,H,https://mediabiasfactcheck.com/the-bipartisan-press/,H,L,[],thebipartisanpress.com,,,,
FN,thebl.com,The BL,M,https://mediabiasfactcheck.com/the-bl/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M']",thebl.com,,,,
FN,theblacksphere.net,The Blacksphere,M,https://mediabiasfactcheck.com/the-blacksphere-kevin-jackson/,L,L,"['C', 'P', 'FFC', 'FC', 'M']",theblacksphere.net,theblacksphere.net,56.0,Theblacksphere,
FN,thebluestateconservative.com,The Blue State Conservative,L,https://mediabiasfactcheck.com/the-blue-state-conservative-bias/,L,M,"['C', 'P', 'PS', 'LT', 'FC', 'M', 'PSE']",thebluestateconservative.com,,,,
